Name,Rank,Previous Rank,Image URL,Song URL,Artist/s Name,Artist Spotify
GNX,1,2,https://i.scdn.co/image/ab67616d00001e02d9985092cd88bffd97653b58,spotify:album:0hvT3yIEysuuvkK73vgdcW,Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg
rosie,2,1,https://i.scdn.co/image/ab67616d00001e025074bd0894cb1340b8d8a678,spotify:album:7kFyd5oyJdVX2pIi6P4iHE,ROSÉ,spotify:artist:3eVa5w3URK5duf6eyVDbu9
Christmas (Deluxe Special Edition),3,7,https://i.scdn.co/image/ab67616d00001e022ead7786631d8dd3b59be4f0,spotify:album:53fJVD9LpBKEMqdAF7PW5K,Michael Bublé,spotify:artist:1GxkXlMwML1oSg5eLPiAz3
HIT ME HARD AND SOFT,4,4,https://i.scdn.co/image/ab67616d00001e0271d62ea7ea8a5be92d3c1f62,spotify:album:7aJuG4TFXa2hmE4z1yxc3n,Billie Eilish,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH
Short n' Sweet,5,3,https://i.scdn.co/image/ab67616d00001e02fd8d7a8d96871e791cb1f626,spotify:album:3iPSVi54hsacKKl1xIR2eH,Sabrina Carpenter,spotify:artist:74KM79TiuVKeVCqs8QtB0B
INCÓMODO,6,6,https://i.scdn.co/image/ab67616d00001e0247e9618ef7411438f9c9478b,spotify:album:27GWSFRITD8JJcSGMgEfTN,Tito Double P,spotify:artist:5eumcnUkdmGvkvcsx1WFNG
The Secret of Us (Deluxe),7,8,https://i.scdn.co/image/ab67616d00001e021dac3694b3289cd903cb3acf,spotify:album:0hBRqPYPXhr1RkTDG3n4Mk,Gracie Abrams,spotify:artist:4tuJ0bMpJh08umKkEXKUI5
Arcane League of Legends: Season 2 (Soundtrack from the Animated Series),8,5,https://i.scdn.co/image/ab67616d00001e024aaf2413384c1efcc38353c6,spotify:album:2x6LWti2bjYS6AllSomoV7,League of Legends,spotify:artist:47mIJdHORyRerp4os813jD
Cosa Nuestra,9,9,https://i.scdn.co/image/ab67616d00001e02ed432d7df981360768dd5856,spotify:album:0aX0UXrHG2ceYIxTQcqJdA,Rauw Alejandro,spotify:artist:1mcTU81TzQhprhouKaTkpq
CHROMAKOPIA,10,11,https://i.scdn.co/image/ab67616d00001e02124e9249fada4ff3c3a0739c,spotify:album:0U28P0QVB1QRxpqp5IHOlH,"Tyler, The Creator",spotify:artist:4V8LLVI7PbaPR0K2TGSxFF
