Name,Rank,Previous Rank,Image URL,Song URL,Artist/s Name,Artist Spotify
Die With A Smile,1,1,https://i.scdn.co/image/ab67616d00001e0282ea2e9e1858aa012c57cd45,spotify:track:2plbrEY59IikOBgBGLjaoe,Bruno Mars,spotify:artist:0du5cEVh5yTK9QJze8zA0C
APT.,2,2,https://i.scdn.co/image/ab67616d00001e025074bd0894cb1340b8d8a678,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,Bruno Mars,spotify:artist:0du5cEVh5yTK9QJze8zA0C
All I Want for Christmas Is You,3,3,https://i.scdn.co/image/ab67616d00001e024246e3158421f5abb75abc4f,spotify:track:0bYg9bo50gSsH3LtXe2SQn,Mariah Carey,spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ
Last Christmas,4,4,https://i.scdn.co/image/ab67616d00001e02f2d2adaa21ad616df6241e7d,spotify:track:2FRnf9qhLbvw8fu4IBXx78,Wham!,spotify:artist:5lpH0xAS4fVfLkACg9DAuM
BIRDS OF A FEATHER,5,5,https://i.scdn.co/image/ab67616d00001e0271d62ea7ea8a5be92d3c1f62,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH
Rockin' Around The Christmas Tree,6,6,https://i.scdn.co/image/ab67616d00001e027845f74d6db14b400fa61cd3,spotify:track:2EjXfH91m7f8HiJN1yQg97,Brenda Lee,spotify:artist:4cPHsZM98sKzmV26wlwD2W
That’s So True,7,7,https://i.scdn.co/image/ab67616d00001e021dac3694b3289cd903cb3acf,spotify:track:7ne4VBA60CxGM75vw0EYad,Gracie Abrams,spotify:artist:4tuJ0bMpJh08umKkEXKUI5
Jingle Bell Rock,8,9,https://i.scdn.co/image/ab67616d00001e02fd56f3c7a294f5cfe51c7b17,spotify:track:7vQbuQcyTflfCIOu3Uzzya,Bobby Helms,spotify:artist:38EmEgXkgK51MT2tPY0EoC
luther (with sza),9,8,https://i.scdn.co/image/ab67616d00001e0209d6ed214f03fbb663e46531,spotify:track:2CGNAOSuO1MEFCbBRgUzjd,SZA,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP
Santa Tell Me,10,11,https://i.scdn.co/image/ab67616d00001e02a1db745e63940bc06985dea5,spotify:track:0lizgQ7Qw35od7CYaoMBZb,Ariana Grande,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR
Who,11,10,https://i.scdn.co/image/ab67616d00001e02f02c451189a709b9a952aaec,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,Jimin,spotify:artist:1oSPZhvZMIrWW5I41kPkkY
Snowman,12,16,https://i.scdn.co/image/ab67616d00001e02d1410c1372fab1e516328fa8,spotify:track:7uoFMmxln0GPXQ0AcCBXRq,Sia,spotify:artist:5WUlDfRSoLAfcVSX1WnrxN
Let It Snow! Let It Snow! Let It Snow!,13,14,https://i.scdn.co/image/ab67616d00001e026d88028a85c771f37374c8ea,spotify:track:2uFaJJtFpPDc5Pa95XzTvg,Dean Martin,spotify:artist:49e4v89VmlDcFCMyDv9wQ9
